asset_id,side,side_code,name,representative_system,kind,group,category,comparison_group,platform_domain,engagement_domain,echelon,short_role,has_hero_3d_model,current_icon_image,icon_image_status,current_gallery_images,gallery_image_count,prior_3d_tier,prior_sourcing_status,prior_model_source,prior_model_license,prior_model_notes,prior_manifest_match,reference_links,found_model_url,found_model_license,found_model_poly_count,found_image_urls,found_image_license,sourcing_notes
side_a-air-defense-short-stinger,Ukraine,UA,FIM-92 Stinger,FIM-92 Stinger MANPADS,platform,Air Defense / CUAS,air-defense-short-range,,land,air,tactical,"Shoulder-fired, infrared-homing short-range air defense missile — the last-ditch layer against low, fast, close-in air threats.",no,https://commons.wikimedia.org/wiki/Special:FilePath/Danish_soldier_with_a_Stinger_MANPAD.JPEG,external url,https://commons.wikimedia.org/wiki/Special:FilePath/Danish_soldier_with_a_Stinger_MANPAD.JPEG,1,,,,,,,https://en.wikipedia.org/wiki/FIM-92_Stinger | https://www.globalmilitary.net/missiles/fim-92-stinger/ | https://commons.wikimedia.org/wiki/File:Danish_soldier_with_a_Stinger_MANPAD.JPEG,,,,,,
side_a-air-defense-cuas-gepard,Ukraine,UA,Gepard SPAAG,Flakpanzer Gepard self-propelled anti-aircraft gun,platform,Air Defense / CUAS,cuas-gun,self_propelled_aa,land,air,operational,"A 1970s-vintage twin-35mm anti-aircraft gun repurposed as one of the most effective, cost-per-kill counter-drone systems fielded in this war.",yes,https://commons.wikimedia.org/wiki/Special:FilePath/Flakpanzer_Gepard_SPAAG.JPG,external url,https://commons.wikimedia.org/wiki/Special:FilePath/Flakpanzer_Gepard_SPAAG.JPG,1,Icon,Sourced,sketchfab.com/3d-models/low-poly-flakpanzer-gepard-43d276c929184ad6822d9b868e1dbd26,Free,,Gepard,https://kyivindependent.com/us-to-buy-gepard-anti-aircraft-guns-for-ukraine-worth-almost-120-million/ | https://euromaidanpress.com/2025/07/20/ukraine-drone-defense/ | https://www.defensenews.com/global/europe/2023/09/05/germany-ships-first-batch-of-new-gepard-ammo-to-ukraine/,,,,,,
side_a-air-defense-iris-t-slm,Ukraine,UA,IRIS-T SLM,IRIS-T SLM — Medium-range SAM,platform,Air Defense / CUAS,air-defense-medium-range,,land,air,operational,Medium-range SAM,no,/icons/iris-t-slm.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/iris-t-slm-30f8226586fa48fba3a4250961ecfe2f,Free,,IRIS-T SLM,https://en.wikipedia.org/wiki/IRIS-T_SL | https://militarnyi.com/en/news/iris-t-slm-air-defense-system-tested-in-ukraine-now-installed-on-german-navy-frigate/,,,,,,
side_a-air-defense-nasams,Ukraine,UA,NASAMS,NASAMS — Medium-range SAM,platform,Air Defense / CUAS,air-defense-medium-range,,land,air,operational,Medium-range SAM,no,/icons/nasams.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/nasams-1-surface-to-air-missile-system-5fb34fab137c430988fd5642a3b87db3,Free,,NASAMS,https://en.wikipedia.org/wiki/NASAMS | https://www.kongsberg.com/what-we-do/defence-and-security/integrated-air-and-missile-defence/nasams-air-defence-system/,,,,,,
side_a-air-defense-long-patriot,Ukraine,UA,Patriot (PAC-3 MSE),"MIM-104 Patriot, PAC-3 MSE interceptor",platform,Air Defense / CUAS,air-defense-long-range,air_defense_long,land,air,operational,"Long-range, high-altitude air defense battery protecting rear-area cities and infrastructure from ballistic and cruise missile threats.",yes,https://commons.wikimedia.org/wiki/Special:FilePath/MIM-104_Patriot.JPG,external url,https://commons.wikimedia.org/wiki/Special:FilePath/MIM-104_Patriot.JPG,1,Hero,Sourced,sketchfab.com/3d-models/patriot-missile-launcher-2e1160a3f61b44f29859269b5312c834,Free,,Patriot (PAC-3 MSE),https://www.congress.gov/crs-product/IF12297 | https://mod.gov.ua/en/news/intercepting-kinzhal-iskander-and-zircon-missiles-key-facts-about-pac-3-missiles-for-the-patriot-air-defense-system-delivered-to-ukraine-by-germany | https://militarymachine.com/patriot-missile-system-cost,,,,,,
side_a-air-defense-s-300-buk-m1-soviet-legacy,Ukraine,UA,S-300 / Buk-M1 (Soviet-legacy),S-300 / Buk-M1 (Soviet-legacy) — Legacy medium/long-range SAM,platform,Air Defense / CUAS,air-defense-medium-range,,land,air,operational,Legacy medium/long-range SAM,no,/icons/s-300-buk-m1-soviet-legacy.png,local placeholder — file not in repo,,0,Icon,Weak / Verify,sketchfab.com/3d-models/buk-missile-system-7663f9fca2ce485da8c0fafcf2d40d10,Free (Buk only),S-300 alt: cadnav.com/3d-models/model-37151.html — most Sketchfab S-300 listings deleted/paid,S-300 / Buk-M1 (Soviet-legacy),https://en.wikipedia.org/wiki/S-300_missile_system | https://militarnyi.com/en/news/ukrainian-defence-forces-received-modernized-buk-m1-air-defense-systems/,,,,,,
side_a-armor-bvs-10-viking,Ukraine,UA,BvS 10 Viking,BvS 10 Viking — Tracked all-terrain armored carrier,platform,Armor,armor-apc,,,land,tactical,Tracked all-terrain armored carrier,no,/icons/bvs-10-viking.png,local placeholder — file not in repo,,0,Icon,Weak / Verify,sketchfab.com/3d-models/bs-v10-viking-amphibious-all-terrain-vehicle-999b591047b64d8cb23e0725a6c77686,Verify free status,,BvS 10 Viking,https://en.wikipedia.org/wiki/BvS10 | https://armyrecognition.com/news/army-news/army-news-2024/netherlands-delivers-28-viking-armored-vehicles-to-ukrainian-forces,,,,,,
side_a-armor-challenger-2,Ukraine,UA,Challenger 2,Challenger 2 — Main battle tank,platform,Armor,armor-main-battle-tank,,,land,tactical,Main battle tank,no,/icons/challenger-2.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/challenger-2-low-poly-34dc550c4e024649bdf96b8a6a8f4810,"Free, CC-BY",,Challenger 2,https://www.armyrecognition.com/focus-analysis-conflicts/army/conflicts-in-the-world/russia-ukraine-war-2022/ukrainian-forces-deploy-british-donated-challenger-2-tanks-in-first-ever-offensive-on-russian-soil | https://www.globalsecurity.org/military/world/ukraine/ua-challenger2.htm,,,,,,
side_a-armor-leopard2,Ukraine,UA,Leopard 2A6,Leopard 2A6,platform,Armor,armor-main-battle-tank,main_battle_tank,,land,tactical,Western-supplied main battle tank used for direct-fire support and defensive strongpoints; more sophisticated but far less numerous than Soviet-legacy armor.,yes,https://commons.wikimedia.org/wiki/Special:FilePath/Leopard_2_tank.JPG,external url,https://commons.wikimedia.org/wiki/Special:FilePath/Leopard_2_tank.JPG,1,Hero,Sourced,sketchfab.com/3d-models/leopard-2a4-main-battle-tank-99122ebcf2154a74ad6556b6f20ccb9c,Free,,Leopard 2 (A4/A6),https://en.wikipedia.org/wiki/Leopard_2 | https://militarymachine.com/leopard-2-cost | https://commons.wikimedia.org/wiki/File:Leopard_2_tank.JPG,,,,,,
side_a-armor-m1126-icv-stryker,Ukraine,UA,M1126 ICV Stryker,M1126 ICV Stryker — Wheeled armored fighting vehicle,platform,Armor,armor-ifv,,,land,tactical,Wheeled armored fighting vehicle,no,/icons/m1126-icv-stryker.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/m1126-stryker-low-poly-66eef8e96a3f477eba57e656ce8ac7a0,"Free, CC-BY",,M1126 ICV Stryker,https://en.wikipedia.org/wiki/M1126_infantry_carrier_vehicle,,,,,,
