asset_id,side,side_code,name,representative_system,kind,group,category,comparison_group,platform_domain,engagement_domain,echelon,short_role,has_hero_3d_model,current_icon_image,icon_image_status,current_gallery_images,gallery_image_count,prior_3d_tier,prior_sourcing_status,prior_model_source,prior_model_license,prior_model_notes,prior_manifest_match,reference_links,found_model_url,found_model_license,found_model_poly_count,found_image_urls,found_image_license,sourcing_notes
side_b-air-defense-buk-m3,Russia,RU,Buk-M3,Buk-M3 — Medium-range SAM,platform,Air Defense / CUAS,air-defense-medium-range,,land,air,operational,Medium-range SAM,no,/icons/buk-m3.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/ba-buk-m3-43257bbdae2c472d9e9cdd2f0b911f37,Free (fan-project license),,Buk-M3,https://www.armyrecognition.com/military-products/army/air-defense-systems/air-defense-vehicles/buk-m3-9k317m-medium-range-air-defense-missile-system-technical-data-sheet-specifications-11312154 | https://en.missilery.info/missile/bukm3,,,,,,
side_b-air-defense-short-pantsir,Russia,RU,Pantsir-S1,Pantsir-S1 (combined gun/missile point-defense system),platform,Air Defense / CUAS,air-defense-short-range,air_defense_short,land,air,operational,"Combined gun-and-missile point-defense system protecting high-value sites and forward units from aircraft, missiles and drones.",yes,https://commons.wikimedia.org/wiki/Special:FilePath/Pantsir-S1_SAM.jpg,external url,https://commons.wikimedia.org/wiki/Special:FilePath/Pantsir-S1_SAM.jpg,1,Icon,Sourced,sketchfab.com/3d-models/pantsir-s1-3cb67b0bae10418190e7ce32142231e4,Free,,Pantsir-S1,https://en.wikipedia.org/wiki/Pantsir_missile_system | https://www.forbes.com/sites/pauliddon/2025/04/01/apkws-and-pantsir-s1s-saudi-arabia-acquiring-more-cost-effective-defenses-against-drones/ | https://commons.wikimedia.org/wiki/File:Pantsir-S1_SAM.jpg,,,,,,
side_b-air-defense-s-300-soviet-legacy,Russia,RU,S-300 (Soviet-legacy),S-300 (Soviet-legacy) — Legacy long-range SAM,platform,Air Defense / CUAS,air-defense-long-range,,land,air,operational,Legacy long-range SAM,no,/icons/s-300-soviet-legacy.png,local placeholder — file not in repo,,0,Icon,Weak / Verify,See Ukraine sheet S-300 entry,-,Same weak sourcing as Ukraine S-300,S-300 (Soviet-legacy),https://en.wikipedia.org/wiki/S-300_missile_system,,,,,,
side_b-air-defense-s-400-triumf,Russia,RU,S-400 'Triumf',S-400 'Triumf' — Long-range SAM / ABM,platform,Air Defense / CUAS,air-defense-long-range,,land,air,operational,Long-range SAM / ABM,no,/icons/s-400-triumf.png,local placeholder — file not in repo,,0,Hero,Sourced,sketchfab.com/3d-models/s-400-triumf-sam-system-1a109bdd906149249dce0a18cdfbe708,Free,,S-400 'Triumf',https://www.globalsecurity.org/military/world/russia/s-400.htm | https://missilethreat.csis.org/defsys/s-400-triumf/,,,,,,
side_b-air-defense-tor-m2,Russia,RU,Tor-M2,Tor-M2 — Short-range mobile SAM,platform,Air Defense / CUAS,air-defense-short-range,,land,air,operational,Short-range mobile SAM,no,/icons/tor-m2.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/torm2-sam15-f7df8c790fd14a3cba9e8b863715abcf,Free,,Tor-M2,https://www.armyrecognition.com/military-products/army/air-defense-systems/air-defense-vehicles/tor-m2-russia-uk,,,,,,
side_b-armor-bmp-2,Russia,RU,BMP-2,BMP-2 — Infantry fighting vehicle,platform,Armor,armor-ifv,,,land,tactical,Infantry fighting vehicle,no,/icons/bmp-2.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/bmp-2-a843e922897c499ca53e718235b3875a,Free,,BMP-2,https://en.wikipedia.org/wiki/BMP-2 | https://www.globalmilitary.net/vehicles/bmp-2/,,,,,,
side_b-armor-bmp-3,Russia,RU,BMP-3,BMP-3 — Infantry fighting vehicle,platform,Armor,armor-ifv,,,land,tactical,Infantry fighting vehicle,no,/icons/bmp-3.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/bmp-3-f37b5e997d8c427d99ce38349c3e6104,Free,,BMP-3,https://en.wikipedia.org/wiki/BMP-3 | https://www.armyrecognition.com/news/army-news/2026/russia-increases-bmp-3-ifv-production-40-with-new-drone-and-mine-protection-for-ukraine-war,,,,,,
side_b-armor-btr-82a,Russia,RU,BTR-82A,BTR-82A — Wheeled armored personnel carrier,platform,Armor,armor-apc,,,land,tactical,Wheeled armored personnel carrier,no,/icons/btr-82a.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/btr-82a-5c10df6da4154042a481fe89fd688fdb,Free,,BTR-82A,https://www.army-technology.com/projects/btr-82a-armoured-personnel-carrier/ | https://www.armyrecognition.com/military-products/army/armoured-personnel-carriers/wheeled-vehicles/btr-82a-russia-uk,,,,,,
side_b-armor-t-14-armata,Russia,RU,T-14 Armata,"T-14 Armata — Main battle tank (next-generation, limited fielding)",platform,Armor,armor-main-battle-tank,,,land,tactical,"Main battle tank (next-generation, limited fielding)",no,/icons/t-14-armata.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/t-14-armata-24c9a06973a64651a8b0baedee29fd57,Free,,T-14 Armata,https://en.wikipedia.org/wiki/T-14_Armata | https://www.army-technology.com/projects/t-14-armata-main-battle-tank/,,,,,,
side_b-armor-t-62m-refurbished-reserve-stock,Russia,RU,T-62M (refurbished reserve stock),"T-62M (refurbished reserve stock) — Main battle tank (1960s-era, reactivated)",platform,Armor,armor-main-battle-tank,,,land,tactical,"Main battle tank (1960s-era, reactivated)",no,/icons/t-62m-refurbished-reserve-stock.png,local placeholder — file not in repo,,0,Icon,Sourced,sketchfab.com/3d-models/t-62m-f7ac16ba700845cd9a41a1e4d61a4911,Free,Alt: t-62m-russia-8eb0a82d5e56467f9a46b65ace54c592,T-62M (refurbished reserve stock),https://www.armyrecognition.com/focus-analysis-conflicts/army/conflicts-in-the-world/russia-ukraine-war-2022/russia-keeps-upgrading-soviet-era-t-62m-and-t-62mv-tanks-for-combat-in-ukraine | https://www.globalsecurity.org/military/world/russia/t-62-2022.htm,,,,,,
side_b-armor-t72,Russia,RU,T-72 (various modernized variants),T-72B3 / T-72B3M,platform,Armor,armor-main-battle-tank,main_battle_tank,,land,tactical,"Main battle tank used for direct-fire support, breakthrough attempts, and defensive strongpoints; the most numerous armor type in the conflict.",yes,https://commons.wikimedia.org/wiki/Special:FilePath/Tank_T-72.JPG,external url,https://commons.wikimedia.org/wiki/Special:FilePath/Tank_T-72.JPG,1,Icon,Sourced,sketchfab.com/3d-models/t-72b3-97698b23d0384adc8c0d02fa598c6665,Free,,T-72B3 / T-72B3M,https://www.globalsecurity.org/military/world/russia/t-72b3.htm | https://commons.wikimedia.org/wiki/File:Tank_T-72.JPG | https://www.army-technology.com/projects/t-72b3m-main-battle-tank/,,,,,,
