catalog_id,country,name,category,comparison_group,domain,manufacturer,country_of_origin,in_service_since,unit_cost_usd,wikipedia,source_file,found_model_url,found_image_urls,sourcing_notes
ru-spaag-tunguska,Russia,2K22 Tunguska,Self-Propelled Anti-Aircraft Gun/Missile,self_propelled_aa,Ground Vehicle,KBP Instrument Design Bureau,Russia (Soviet-era design),1982,15000000–20000000,https://en.wikipedia.org/wiki/2K22_Tunguska,data/catalog/russian_military_equipment.json,,,
ru-art-2s1,Russia,2S1 Gvozdika,Self-Propelled Howitzer,self_propelled_artillery,Ground Vehicle,Kharkiv Tractor Plant (Soviet-era),USSR legacy,1972,300000–500000,https://en.wikipedia.org/wiki/2S1_Gvozdika,data/catalog/russian_military_equipment.json,,,
ru-art-2s19,Russia,2S19 Msta-S,Self-Propelled Howitzer,self_propelled_artillery,Ground Vehicle,Uraltransmash,Russia (Soviet-era design),1989,3000000–3200000,https://en.wikipedia.org/wiki/2S19_Msta-S,data/catalog/russian_military_equipment.json,,,
ru-art-2s3,Russia,2S3 Akatsiya,Self-Propelled Howitzer,self_propelled_artillery,Ground Vehicle,Uraltransmash (Soviet-era),USSR legacy,1971,400000–700000,https://en.wikipedia.org/wiki/2S3_Akatsiya,data/catalog/russian_military_equipment.json,,,
ru-mlrs-tornado-s,Russia,9A52-4 Tornado-S,Multiple Launch Rocket System,mlrs_heavy,Ground Vehicle,Splav / Motovilikha Plants,Russia,2016,,https://en.wikipedia.org/wiki/9A52-4_Tornado,data/catalog/russian_military_equipment.json,,,
ru-atgm-kornet,Russia,9M133 Kornet,Anti-Tank Guided Missile,atgm,Ground,KBP Instrument Design Bureau,Russia,1998,26000–30000,https://en.wikipedia.org/wiki/9M133_Kornet,data/catalog/russian_military_equipment.json,,,
ru-navy-grigorovich,Russia,Admiral Grigorovich-class frigate,Frigate,naval_surface_combatant,Naval,"Yantar Shipyard, Kaliningrad",Russia,2016,450000000–500000000,https://en.wikipedia.org/wiki/Admiral_Grigorovich-class_frigate,data/catalog/russian_military_equipment.json,,,
ru-mlrs-bm21,Russia,BM-21 Grad,Multiple Launch Rocket System,mlrs_light,Ground Vehicle,Soviet-era design,USSR legacy,1963,500000–1000000,https://en.wikipedia.org/wiki/BM-21_Grad,data/catalog/russian_military_equipment.json,,,
ru-ifv-bmp2,Russia,BMP-2,Infantry Fighting Vehicle,ifv,Ground Vehicle,Kurganmashzavod,USSR legacy,1980,1000000–1500000,https://en.wikipedia.org/wiki/BMP-2,data/catalog/russian_military_equipment.json,,,
ru-ifv-bmp3,Russia,BMP-3,Infantry Fighting Vehicle,ifv,Ground Vehicle,Kurganmashzavod,Russia (Soviet-era design),1987,3000000–4000000,https://en.wikipedia.org/wiki/BMP-3,data/catalog/russian_military_equipment.json,,,
ru-apc-btr82a,Russia,BTR-82A,Armoured Personnel Carrier,apc,Ground Vehicle,Arzamas Machine-Building Plant,Russia,2013,1800000–2200000,https://en.wikipedia.org/wiki/BTR-82,data/catalog/russian_military_equipment.json,,,
ru-ad-buk-m3,Russia,Buk-M3,Medium-Range Air Defense System,air_defense_medium,Ground Vehicle,Almaz-Antey,Russia,2016,30000000–50000000,https://en.wikipedia.org/wiki/Buk_missile_system,data/catalog/russian_military_equipment.json,,,
ru-navy-karakurt,Russia,Buyan-M / Karakurt-class corvette,Missile Corvette,naval_surface_combatant,Naval,Various Russian shipyards,Russia,2018,70000000–100000000,https://en.wikipedia.org/wiki/Karakurt-class_corvette,data/catalog/russian_military_equipment.json,,,
